Model,Finisaj,Tip_Rozeta,Pret_Maner,Pret_Rozeta,Total
CYNIA,MSC,WC,231.15,111.7,342.85
DALIA,BK,OB,275.39,65.85,341.24
DALIA,BK,PZ,275.39,65.85,341.24
DALIA,BK,WC,275.39,113.13,388.52
DALIA,KG,OB,330.46,79.03,409.49
DALIA,KG,PZ,330.46,79.03,409.49
DALIA,KG,WC,330.46,129.59,460.05
DALIA,LC,OB,275.39,65.85,341.24
DALIA,LC,PZ,275.39,65.85,341.24
DALIA,LC,WC,275.39,113.13,388.52
DALIA,LG,OB,330.46,79.03,409.49
DALIA,LG,PZ,330.46,79.03,409.49
DALIA,LG,WC,330.46,129.59,460.05
DALIA,PN PVD,OB,330.46,79.03,409.49
DALIA,PN PVD,PZ,330.46,79.03,409.49
DALIA,PN PVD,WC,330.46,129.59,460.05
DALIA,SC,OB,275.39,65.85,341.24
DALIA,SC,PZ,275.39,65.85,341.24
DALIA,SC,WC,275.39,113.13,388.52
DEGLASIA,GYM,OB,303.0,79.03,382.03
DEGLASIA,GYM,PZ,303.0,79.03,382.03
DEGLASIA,GYM,WC,303.0,129.59,432.59
DEGLASIA,LG,OB,326.39,79.03,405.42
DEGLASIA,LG,PZ,326.39,79.03,405.42
DEGLASIA,LG,WC,326.39,129.59,455.98
DETAZIA,BK/BLACK LEATHER,OB,531.0,65.85,596.85
DETAZIA,BK/BLACK LEATHER,PZ,531.0,65.85,596.85
DETAZIA,BK/BLACK LEATHER,WC,531.0,121.13,652.13
EGERIA,BK,OB,557.55,65.85,623.4
EGERIA,BK,PZ,557.55,65.85,623.4
EGERIA,BK,WC,557.55,113.13,670.68
EGERIA,KG / BROWN LEATHER,OB,669.05,79.03,748.08
EGERIA,KG / BROWN LEATHER,PZ,669.05,79.03,748.08
EGERIA,KG / BROWN LEATHER,WC,669.05,129.59,798.64
EGERIA,LC / BLACK LEATHER,OB,557.55,65.85,623.4
EGERIA,LC / BLACK LEATHER,PZ,557.55,65.85,623.4
EGERIA,LC / BLACK LEATHER,WC,557.55,113.13,670.68
EGERIA,LG,OB,669.05,79.03,748.08
EGERIA,LG,PZ,669.05,79.03,748.08
EGERIA,LG,WC,669.05,129.59,798.64
EUPHORBIA,GYM,OB,392.09,79.03,471.12
EUPHORBIA,GYM,PZ,392.09,79.03,471.12
EUPHORBIA,GYM,WC,392.09,129.59,521.68
EUPHORBIA,KG,OB,392.09,79.03,471.12
EUPHORBIA,KG,PZ,392.09,79.03,471.12
EUPHORBIA,KG,WC,392.09,129.59,521.68
EUPHORBIA,SNM,OB,363.99,72.44,436.43
EUPHORBIA,SNM,PZ,363.99,72.44,436.43
EUPHORBIA,SNM,WC,363.99,124.46,488.45
FRAGOLA,BLACK,OB,178.23,65.01,243.24
FRAGOLA,BLACK,PZ,178.23,65.01,243.24
FRAGOLA,BLACK,WC,178.23,111.7,289.93
FRAGOLA,CP,OB,178.23,65.01,243.24
FRAGOLA,CP,PZ,178.23,65.01,243.24
FRAGOLA,CP,WC,178.23,111.7,289.93
FRAGOLA,GOLD PVD,OB,196.05,71.51,267.56
FRAGOLA,GOLD PVD,PZ,196.05,71.51,267.56
FRAGOLA,GOLD PVD,WC,196.05,122.85,318.9
FRAGOLA,GOLD SATIN,OB,213.88,78.01,291.89
FRAGOLA,GOLD SATIN,PZ,213.88,78.01,291.89
FRAGOLA,GOLD SATIN,WC,213.88,128.44,342.32
FRAGOLA,MSB,OB,187.15,65.01,252.16
FRAGOLA,MSB,PZ,187.15,65.01,252.16
FRAGOLA,MSB,WC,187.15,111.7,298.85
FRAGOLA,MSC,OB,178.23,65.01,243.24
FRAGOLA,MSC,PZ,178.23,65.01,243.24
FRAGOLA,MSC,WC,178.23,111.7,289.93
FRAGOLA,MSN,OB,187.15,65.01,252.16
FRAGOLA,MSN,PZ,187.15,65.01,252.16
FRAGOLA,MSN,WC,187.15,111.7,298.85
FUNKIA R,BLACK,OB,226.59,65.01,291.6
FUNKIA R,BLACK,PZ,226.59,65.01,291.6
FUNKIA R,BLACK,WC,226.59,111.7,338.29
FUNKIA R,CP,OB,226.59,65.01,291.6
FUNKIA R,CP,PZ,226.59,65.01,291.6
FUNKIA R,CP,WC,226.59,111.7,338.29
FUNKIA R,GOLD PVD,OB,249.24,71.51,320.75
FUNKIA R,GOLD PVD,PZ,249.24,71.51,320.75
FUNKIA R,GOLD PVD,WC,249.24,122.85,372.09
FUNKIA R,MSC,OB,226.59,65.01,291.6
FUNKIA R,MSC,PZ,226.59,65.01,291.6
FUNKIA R,MSC,WC,226.59,111.7,338.29
GARDENIA,KG,OB,431.3,93.0,524.3
GARDENIA,KG,PZ,431.3,93.0,524.3
GARDENIA,KG,WC,431.3,136.11,567.41
GARDENIA,LC,OB,359.43,77.5,436.93
GARDENIA,LC,PZ,359.43,77.5,436.93
GARDENIA,LC,WC,359.43,118.84,478.27
GARDENIA,LG,OB,431.3,93.0,524.3
GARDENIA,LG,PZ,431.3,93.0,524.3
GARDENIA,LG,WC,431.3,136.11,567.41
GERBERA,KG,OB,334.23,79.03,413.26
GERBERA,KG,PZ,334.23,79.03,413.26
GERBERA,KG,WC,334.23,129.59,463.82
GERBERA,LG PVD,OB,334.23,79.03,413.26
GERBERA,LG PVD,PZ,334.23,79.03,413.26
GERBERA,LG PVD,WC,334.23,129.59,463.82
HIACYNTA,BK,OB,344.33,77.5,421.83
HIACYNTA,BK,PZ,344.33,77.5,421.83
HIACYNTA,BK,WC,344.33,118.84,463.17
HIACYNTA,KG,OB,413.19,93.0,506.19
HIACYNTA,KG,PZ,413.19,93.0,506.19
HIACYNTA,KG,WC,413.19,136.11,549.3
HIACYNTA,LC,OB,344.33,77.5,421.83
HIACYNTA,LC,PZ,344.33,77.5,421.83
HIACYNTA,LC,WC,344.33,118.84,463.17
HIACYNTA,LG,OB,413.19,93.0,506.19
HIACYNTA,LG,PZ,413.19,93.0,506.19
HIACYNTA,LG,WC,413.19,136.11,549.3
HIACYNTA,PN PVD,OB,413.19,93.0,506.19
HIACYNTA,PN PVD,PZ,413.19,93.0,506.19
HIACYNTA,PN PVD,WC,413.19,136.11,549.3
HIACYNTA,SC,OB,344.33,77.5,421.83
HIACYNTA,SC,PZ,344.33,77.5,421.83
HIACYNTA,SC,WC,344.33,118.84,463.17
INULA,BLACK,OB,221.88,65.01,286.89
INULA,BLACK,PZ,221.88,65.01,286.89
INULA,BLACK,WC,221.88,111.7,333.58
INULA,CP,OB,221.88,65.01,286.89
INULA,CP,PZ,221.88,65.01,286.89
INULA,CP,WC,221.88,111.7,333.58
INULA,GOLD PVD,OB,244.06,71.51,315.57
INULA,GOLD PVD,PZ,244.06,71.51,315.57
INULA,GOLD PVD,WC,244.06,122.85,366.91
INULA,MSC,OB,221.88,65.01,286.89
